|           | - | Rooms                 | - | Pickups             | - | Triggers            | - | Player Spawn        | - | Enemy Spawn         | - | Gates               |/

* 		   
|           | - | 0, 0, 0, 0, 0, 17,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |/
|  Level 1  | - | 0, 0, 0, 0, 0, 18,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0,  0,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |/
|  G Floor  | - | 0, 0, 0, 0, 0,  0,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0,  0,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |

&
|           | - | 0, 0, 0, 0, 0,  0,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |/
|  Level 1  | - | 0, 0, 0, 0, 0, 10,  0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 1, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 2, 0 |/
|           | - | 0, 0, 3, 0, 7, 11, 14 | - | 0, 0, 1, 0, 3, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |/
|  Floor 1  | - | 1, 2, 4, 6, 8, 12, 15 | - | 2, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 1, 0, 0, 0 |/
|           | - | 0, 0, 5, 0, 9, 13, 16 | - | 0, 0, 0, 0, 0, 2, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 1, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0 |
